#OTUID	domain	phylum	class	order	family	genus	species
60490ba05410f73f0187c3d1d437f308	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	
fe808d0f0b70923ab94fd23da4989f6b	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	
ff493f77e13d8db6f4e585e378c195ea	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	
94e076e89412387c7b64fab2c5d1e4f0	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	
8f37ad151a2b7b92042fb02b2b6a268b	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
2a9f97d8d527a06a3fab80281a33b6f8	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	
174230a6c46fb605af01633bf0508184	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0b159a7df415aa58b5b151e50b633b73	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
12f5afb369f6880dd6f9349103004a50	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
0b8199fa6cf6a45b1eb6740250c6fc7b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
33eb5886afba22c6c4d5efbddac8d2e9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aliihoeflea	
ed5749a1672e74f1d8ad41de54e2b9cc	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	
f25d9c51496362564a5273c7ffe94159	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	
5192cf69a5f3dbbfd92c0ed42dd90ccc	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	
adbf17c1a5f0710ef2f373fde440752e	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	
b4859aaa11d616e10d3bfb6e9b754e3c	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	
8ac51082ea214f526ed40386ebc16397	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	
b3cd08c00f62e0dfb384468241d55ade	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
fe3f9b022e460c6f23561562c36439ff	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
b767786f85b970f7a0a9dfd06d0c3038	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	
47a5fa7dbee28244fc5024b1fe80a6cf	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured	
7086425c556b710ab24a7205b898a0a9	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
06a7d17d3cd1e59dd27673e031c4f8ff	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	
69e569c1258d1dce024bc5e120161ce6	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	
175593d3a04713be3229163eb4f7949c	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Galbitalea	
b8dc25e3829dccffdbe1eb19f4a6d40b	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
0700590cce2115b44d306f3505fb529c	Bacteria	Firmicutes	Clostridia	Clostridiales	Oxobacteraceae	Oxobacter	
f3e6bedd56e5a89a75e33b502b0482b6	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Galbitalea	
bc3e854eec8c1e7db82a60f99ce5fe68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
dbd3a826102c255d6dff7a4749894d8e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	
d4e86dbad3762e052ce498cac7ce5b39	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	
82d8f3c48edb7cb08f354cc4e3e93f2e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
8b5222f3427a6db69c523b4a72205cce	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	
0fbfb14ab0e05381bbfd21c16c9fa71a	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
b0b5f73a5aaf77a6637787c62e92581d	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	UCG-010	
220456f93ea62d4f513457c1604075de	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	
fa5cd1c03932b79e6ff412a6e5804a96	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	
